,Location,Page_n,Title,Url,Date,Description,Clean_text
380,Świat,0,Teoria o wycieku koronawirusa z laboratorium coraz bardziej prawdopodobna,https://www.tvp.info/53636237/pandemia-covid-19-teoria-wycieku-koronawirusa-z-laboratorium-w-wuhan-w-chinach-naukowcy-zadaja-od-who-wyjasnien,4.05.2021,"Teoria o wycieku koronawirusa z chińskiego laboratorium w Wuhan jest coraz bardziej prawdopodobna – ujawnia „Le Figaro”. Francuski dziennik cytuje ekspertów, którzy domagają się rzetelnego międzynarodowego śledztwa w tej sprawie. Ich zdaniem prawdę o pochodzeniu wirusa SARS-Cov-2 ukrywają Chiny, które dziennik nazwał „imperium nieprzejrzystości”.",ERROR
387,Świat,0,Koronawirus. Najmniejsza od roku liczba zgonów w Wielkiej Brytanii,https://www.tvp.info/53632647/koronawirus-wielka-brytania-1-zgon-ponad-50-mln-dawek-przeciw-covid-19,4.05.2021,"Zaledwie jeden zgon z powodu COVID-19 zarejestrowano w ciągu ostatniej doby w Wielkiej Brytanii, co jest najniższym bilansem od 30 sierpnia 2020 roku – podał w poniedziałek brytyjski rząd. Liczba szczepionek przeciw COVID-19 przekroczyła tymczasem 50 mln.",ERROR
398,Świat,0,Włochy: Po raz pierwszy od 20 lat nie było epidemii grypy,https://www.tvp.info/53626354/koronawirus-wlochy-po-raz-pierwszy-od-20-lat-nie-bylo-epidemii-grypy,3.05.2021,Po raz pierwszy od 20 lat we Włoszech nie było w tym roku epidemii grypy – odnotowali specjaliści z krajowego Instytutu Służby Zdrowia. Epidemię sezonowej grypy wyparła pandemia koronawirusa i powstrzymały środki ochrony osobistej.,ERROR
412,Świat,1,Indie: Rekordowa liczba zgonów z powodu COVID-19,https://www.tvp.info/53614467/koronawirus-dramatyczna-sytuacja-w-indiach-odnotowano-rekordowa-licze-zgonow-z-powodu-covid-19,2.05.2021,Liczba nowych przypadków zakażenia koronawirusem w Indiach nieznacznie spadła w niedzielę. Odnotowano jednak reordową liczbę zgonów z powodu COVID-19 – poinformowały indyjskie władze.,ERROR
426,Świat,2,Rosja: 42 studentów z Indii zakażonych koronawirusem,https://www.tvp.info/53603398/koronawirus-covid-19-rosja-42-studentow-z-indii-zakazonych,1.05.2021,"U 42. studentów z Indii, którzy przybyli uczyć się w Pskowskim Uniwersytecie Państwowymi, wykryto zakażenie koronawirusem - poinformowały w sobotę władze obwodu pskowskiego, na zachodzie Rosji. Test studenci wykonali zaraz po przybyciu na uczelnię. U wszystkich choroba ma lekki przebieg.",ERROR
429,Świat,2,Pożar szpitala w Indiach. Nie żyją pacjenci chorujący na COVID-19,https://www.tvp.info/53603755/koronawirus-pozar-szpitala-w-indiach-nie-zyje-kilkunastu-pacjentow-chorych-na-covid-19,1.05.2021,"W pożarze, do jakiego doszło w nocy z piątku na sobotę na oddziale intensywnej terapii w szpitalu w mieście Bharuch na północy kraju zginęło 18 osób - podały władze stanu Gudźarat. Wśród ofiar jest dwóch pracowników medycznych i 16 chorujących na COVID-19.",ERROR
444,Świat,3,Koronawirus na wycieczkowcu. Na pokładzie kilkaset osób,https://www.tvp.info/53587651/pandemia-koronawirusa-japonia-azja-osoba-chora-na-covid-19-na-pokladzie-statku-wycieczkowego,30.04.2021,"Jeden z pasażerów japońskiego statku wycieczkowego Asuka II uzyskał pozytywny wynik testu na obecność koronawirusa – poinformował w piątek firma NYK Cruises. Rejs został anulowany, a statek, który w czwartek wypłynął z Jokohamy, powróci do portu.",ERROR
462,Świat,4,Francja. Pierwsze wykryte przypadki indyjskiego wariantu koronawirusa w kraju,https://www.tvp.info/53564961/francja-pierwsze-wykryte-przypadki-indyjskiego-wariantu-koronawirusa-w-kraju,30.04.2021,"Władze medyczne zidentyfikowały pierwszy przypadek indyjskiego wariantu koronawirusa we Francji, kolejny jest sprawdzany. Przypadek wariantu indyjskiego zidentyfikowano w Lot-et-Garonne w regionie Nowej Akwitanii u mężczyzny, który wrócił z Indii – poinformowały władze medyczne w czwartek.",ERROR
489,Świat,5,Tego jeszcze nie było w historii Bundestagu. Powodem pandemia,https://www.tvp.info/53539008/covid-19-w-niemczech-w-bundestagu-zmniejszaja-sie-diety-poselskie-powodem-pandemia-koronawirusa,28.04.2021,W wyniku kryzysu związanego z pandemią koronawirusa niemieccy posłowie otrzymają od lipca mniej pieniędzy. Podlegająca opodatkowaniu dieta parlamentarna zmniejszy się o około 70 euro i wyniesie 10 012 euro. O sprawie jako pierwsza poinformowała gazeta „Rheinpfalz”.,ERROR
498,Świat,5,Koronawirus. Hiszpania ogłasza testowanie paszportów szczepionkowych,https://www.tvp.info/53533469/koronawirus-covid-19-hiszpania-resort-zdrowia-oglasza-testowanie-paszportow-szczepionkowych,28.04.2021,"Ministerstwo zdrowia Hiszpanii opracowało program testowania paszportu szczepionkowego, służącego bezpiecznej turystyce podczas tegorocznych wakacji. Według resortu na podstawie tego dokumentu wydawanego w formie elektronicznej od czerwca przyjmowani byliby zagraniczni urlopowicze.",ERROR
